"Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"My Stupid Boss 2","2019","N/A","28 Mar 2019","96 min","Comedy, Drama","Upi Avianto","Upi Avianto (script writer)","Reza Rahadian, Bunga Citra Lestari, Kin Wah Chew, Atikah Suhaime","Bossman and his employees goes to Vietnam to find new workers for his company, but instead of getting new workers they got a lot of new troubles.","Indonesian, Malay, English, Vietnamese","Indonesia","N/A","https://m.media-amazon.com/images/M/MV5BNzlmNGM1MzAtOGY5Ny00NTI3LTgzNjEtYmViODcwMGQxNWNiXkEyXkFqcGdeQXVyNzY4NDQzNTg@._V1_SX300.jpg","N/A","6.8","165","tt10039468","movie","N/A","N/A","N/A","N/A","True",NULL
"Code 8","2019","N/A","13 Dec 2019","98 min","Action, Crime, Drama, Sci-Fi, Thriller","Jeff Chan","Chris Pare (screenplay by), Jeff Chan (story by)","Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne","A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.","English","Canada","N/A","https://m.media-amazon.com/images/M/MV5BNmQ2NWMyZDgtNWQ5My00ZmQwLWE0MTQtN2ZiNjY2ODc0Y2YxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","48","6.1","19,739","tt6259380","movie","N/A","N/A","N/A","N/A","True",NULL
"School Life","2019","N/A","28 Aug 2019","111 min","Comedy, Drama","Mehdi Idir, Grand Corps Malade","Mehdi Idir (screenplay), Grand Corps Malade (screenplay)","Zita Hanrot, Liam Pierron, Soufiane Guerrab, Moussa Mansaly","The daily life of a school located in Saint Denis.","French, Arabic","France","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BNDRjZDQ1YTItZDgyZC00ZjkzLTk2MjAtM2ZmN2JlN2UxMTdhXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg","N/A","6.7","718","tt8783532","movie","N/A","N/A","N/A","N/A","True",NULL
"Tiffany Haddish: She Ready! From the Hood to Hollywood","2017","TV-MA","18 Aug 2017","65 min","Comedy","Chris Robinson","Tiffany Haddish","Tiffany Haddish","Stand up comedy performed by Tiffany Haddish.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYzRmNzU4OWUtNTM4Mi00YjMzLWI1MzEtODRmZmU3NGViYzk3XkEyXkFqcGdeQXVyMzcwMjcwNQ@@._V1_SX300.jpg","N/A","6.7","250","tt6328116","movie","N/A","N/A","Showtime","N/A","True",NULL
"Born Beautiful","2019","N/A","23 Jan 2019","96 min","Comedy","Perci M. Intalan","Jun Lana (creator), Rody Vera (original story), Elmer L. Gatchalian (head writer), Fatrick Tabada (screenplay), Ivan Andrew Payawal (screenplay)","Martin del Rosario, Paolo Ballesteros, Lou Veloso, Chai Fonacier","After her best friend dies, Barbs starts a new life as a straight man named Bobby, which leads her to Trisha's ex-boyfriend Michaelangelo, to her own ex-boyfriend Greg and to a woman claiming she is pregnant with Barbs' child.","Filipino, Tagalog","Philippines","N/A","https://m.media-amazon.com/images/M/MV5BYmVlYWJmNzYtZTU3Ny00NzQxLWI3NTAtNDIyMGRhMzc0NDM5XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","7.6","21","tt9364848","movie","N/A","N/A","N/A","N/A","True",NULL
"Babamin Ceketi","2018","N/A","05 Oct 2018","99 min","Comedy","Müfit Can Saçinti","Müfit Can Saçinti","Sami Aksu, Duygu Benli, Kurt Berk, Erkan Can","Ferhat and Aslihan, who have been together for some time, want to crown their relationship with marriage. But Ferhat's being unemployed is a major obstacle to their marriage. In the ...","Turkish","Turkey","N/A","https://m.media-amazon.com/images/M/MV5BYWRhMzZhNzctNmVhYS00NDFhLTlkODMtMWMwZGY4ZjI5MDk3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","N/A","5.0","514","tt8857590","movie","N/A","N/A","N/A","N/A","True",NULL
"Duniya","1984","NOT RATED","18 Sep 1984","169 min","Action, Drama","Ramesh Talwar","Javed Akhtar (dialogue), Javed Akhtar (screenplay), Javed Akhtar (story)","Ashok Kumar, Dilip Kumar, Rishi Kapoor, Amrita Singh","Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch ...","Hindi","India","N/A","https://m.media-amazon.com/images/M/MV5BNDQ3NzE4NjQ1NV5BMl5BanBnXkFtZTgwODMwNzMxNzE@._V1_SX300.jpg","N/A","7.5","93","tt0301231","movie","N/A","N/A","N/A","N/A","True",NULL
"Kaal","2005","Not Rated","29 Apr 2005","126 min","Adventure, Horror, Mystery, Sci-Fi, Thriller","Soham Shah","Soham Shah (dialogue), Soham Shah (screenplay), Soham Shah (story)","Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta","A tiger expert, his wife, two tourists and a village chief engage in a battle for survival against supernatural beasts within Jim Corbett National Wildlife Park.","Hindi","India","2 nominations.","https://m.media-amazon.com/images/M/MV5BMzcwZTliMDMtYTRiZi00MTY0LTkwM2UtZTM2MmQ0NDA3MTgxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg","N/A","4.6","4,541","tt0415908","movie","30 Aug 2005","$340,091","Neha Arts","N/A","True",NULL
"Brothers","2015","Not Rated","14 Aug 2015","156 min","Action, Drama, Sport","Karan Malhotra","Gavin O'Connor (original story), Cliff Dorfman (original story), Ekta Pathak Malhotra (adapted screenplay), Siddharth Singh (dialogue), Garima Wahal (dialogue), Anthony Tambakis (orignal story)","Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez","Two estranged, street-fighting brothers square off against each other in a mixed martial arts tournament.","Hindi, English","India, USA","N/A","https://m.media-amazon.com/images/M/MV5BNzQ4Njg3Mjg5Nl5BMl5BanBnXkFtZTgwODE5MDg1NjE@._V1_SX300.jpg","N/A","6.5","10,979","tt3802576","movie","N/A","N/A","N/A","N/A","True",NULL
"CT Fletcher: My Magnificent Obsession","2015","N/A","18 Sep 2015","101 min","Documentary, Drama, Sport","Vlad Yudin","N/A","C.T. Fletcher, Stephen Adele, Steve Austin, Bill Goldberg","C.T. Fletcher shows you his story, and what he's all about.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjMzNjM5MjgyOV5BMl5BanBnXkFtZTgwOTU1ODk1NjE@._V1_SX300.jpg","N/A","7.6","532","tt4939436","movie","N/A","N/A","Generation Iron Fitness Network","N/A","True",NULL
