"_id","id","channelId","title"
"AUS_1","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation"
"AUS_2","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles"
"AUS_3","10","UCBR8-60-B28hp2BmDPdntcQ","Music"
"AUS_4","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals"
"AUS_5","17","UCBR8-60-B28hp2BmDPdntcQ","Sports"
"AUS_6","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies"
"AUS_7","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events"
"AUS_8","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming"
"AUS_9","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging"
"AUS_10","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs"
"AUS_11","23","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"AUS_12","24","UCBR8-60-B28hp2BmDPdntcQ","Entertainment"
"AUS_13","25","UCBR8-60-B28hp2BmDPdntcQ","News & Politics"
"AUS_14","26","UCBR8-60-B28hp2BmDPdntcQ","Howto & Style"
"AUS_15","27","UCBR8-60-B28hp2BmDPdntcQ","Education"
"AUS_16","28","UCBR8-60-B28hp2BmDPdntcQ","Science & Technology"
"AUS_17","30","UCBR8-60-B28hp2BmDPdntcQ","Movies"
"AUS_18","31","UCBR8-60-B28hp2BmDPdntcQ","Anime/Animation"
"AUS_19","32","UCBR8-60-B28hp2BmDPdntcQ","Action/Adventure"
"AUS_20","33","UCBR8-60-B28hp2BmDPdntcQ","Classics"
"AUS_21","34","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"AUS_22","35","UCBR8-60-B28hp2BmDPdntcQ","Documentary"
"AUS_23","36","UCBR8-60-B28hp2BmDPdntcQ","Drama"
"AUS_24","37","UCBR8-60-B28hp2BmDPdntcQ","Family"
"AUS_25","38","UCBR8-60-B28hp2BmDPdntcQ","Foreign"
"AUS_26","39","UCBR8-60-B28hp2BmDPdntcQ","Horror"
"AUS_27","40","UCBR8-60-B28hp2BmDPdntcQ","Sci-Fi/Fantasy"
"AUS_28","41","UCBR8-60-B28hp2BmDPdntcQ","Thriller"
"AUS_29","42","UCBR8-60-B28hp2BmDPdntcQ","Shorts"
"AUS_30","43","UCBR8-60-B28hp2BmDPdntcQ","Shows"
"AUS_31","44","UCBR8-60-B28hp2BmDPdntcQ","Trailers"
