"_id","id","publishedAt","channelId","title","channelTitle","categoryId","defaultAudioLanguage","duration","definition","caption","licensedContent","madeForKids","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"AUS_1","87-ZFjLfBAQ","2020-04-19T03:06:41.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","One World: Together At Home Special to Celebrate COVID-19 Workers","Global Citizen","29","en","PT8H5M15S","hd","false","True","False","23140973","353825","23205","0","0"
"AUS_2","9wTAULd7_4w","2020-04-19T16:08:52.000Z","UCo8bcnLyZH8tBIH9V1mLgqQ","Getting Lost at Camp Geronimo","TheOdd1sOut","23","en","PT8M10S","hd","false","True","False","5140867","398545","3583","0","45153"
"AUS_3","SYJCYr1I-Sk","2020-04-19T03:09:22.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","Celine Dion, Andrea Bocelli, Lady Gaga, Lang Lang, John Legend perform ""The Prayer"" | OW:TAH","Global Citizen","29","en","PT3M9S","hd","false","True","False","4952966","127859","4119","0","0"
"AUS_4","27NNH6tnFYQ","2020-04-18T21:22:52.000Z","UCPpATKqmMV-CNRNWYaDUwiA","WE COMPETE IN THE OLYMPICS!! (YouTuber Olympics)","Alexa Rivera","26",NULL,"PT10M21S","hd","false","True","False","1499856","104978","1726","0","6703"
"AUS_5","dVdGk-N8doE","2020-04-18T17:25:47.000Z","UCqsUQhA6UIwSams54bEnCJw","Morgz Mum - MORGZ SUCKS (Diss Track) Official Music Video","Morgz Mum","24",NULL,"PT2M16S","hd","false","True","False","1060346","36624","52211","0","37513"
"AUS_6","nMDOSLEVdBw","2020-04-16T16:00:33.000Z","UC652oRUvX1onwrrZ8ADJRPw","Playboi Carti - @ MEH [Official Video]","Playboi Carti","10",NULL,"PT2M48S","hd","false","False","False","8302142","383178","38640","0","66125"
"AUS_7","R241RjFVjXM","2020-04-18T17:25:11.000Z","UCBwSufNse8VMBvQM_rCSvgQ","Morgz - DEAR MOM (Diss Track) Official Music Video","Morgz","24","en","PT2M58S","hd","false","True","False","1570045","75205","57837","0","41521"
"AUS_8","jOrQIQ3j4y0","2020-04-17T16:00:10.000Z","UCwtnkRZcvL4bfopzJ-Von8Q","She Said YES! - Prom Knight Episode 2 - Merrell Twins","merrelltwins","23","en","PT14M22S","hd","true","True","False","2029585","85325","2670","0","15901"
"AUS_9","BtYKDamqo2I","2020-04-18T15:47:08.000Z","UCUK0HBIBWgM2c4vsPhkYY4w","Breaking Youtube with Slow Mo Glitter - The Slow Mo Guys","The Slow Mo Guys","24","en-GB","PT14M33S","hd","false","True","False","2675770","117514","2166","0","9899"
"AUS_10","eYKChS7DVss","2020-04-16T06:30:05.000Z","UCs-vWZu3t2ky3oImX83S_2Q","6km IN 3 DAYS.... Did we get this 4WD out? Tassie $1000 Track Part 2!","4WD Action","2","en","PT1H1S","hd","false","True","False","386196","10557","129","0","1246"
