"_id","id","channelId","title"
"CA_1","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation"
"CA_2","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles"
"CA_3","10","UCBR8-60-B28hp2BmDPdntcQ","Music"
"CA_4","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals"
"CA_5","17","UCBR8-60-B28hp2BmDPdntcQ","Sports"
"CA_6","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies"
"CA_7","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events"
"CA_8","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming"
"CA_9","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging"
"CA_10","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs"
"CA_11","23","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"CA_12","24","UCBR8-60-B28hp2BmDPdntcQ","Entertainment"
"CA_13","25","UCBR8-60-B28hp2BmDPdntcQ","News & Politics"
"CA_14","26","UCBR8-60-B28hp2BmDPdntcQ","Howto & Style"
"CA_15","27","UCBR8-60-B28hp2BmDPdntcQ","Education"
"CA_16","28","UCBR8-60-B28hp2BmDPdntcQ","Science & Technology"
"CA_17","30","UCBR8-60-B28hp2BmDPdntcQ","Movies"
"CA_18","31","UCBR8-60-B28hp2BmDPdntcQ","Anime/Animation"
"CA_19","32","UCBR8-60-B28hp2BmDPdntcQ","Action/Adventure"
"CA_20","33","UCBR8-60-B28hp2BmDPdntcQ","Classics"
"CA_21","34","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"CA_22","35","UCBR8-60-B28hp2BmDPdntcQ","Documentary"
"CA_23","36","UCBR8-60-B28hp2BmDPdntcQ","Drama"
"CA_24","37","UCBR8-60-B28hp2BmDPdntcQ","Family"
"CA_25","38","UCBR8-60-B28hp2BmDPdntcQ","Foreign"
"CA_26","39","UCBR8-60-B28hp2BmDPdntcQ","Horror"
"CA_27","40","UCBR8-60-B28hp2BmDPdntcQ","Sci-Fi/Fantasy"
"CA_28","41","UCBR8-60-B28hp2BmDPdntcQ","Thriller"
"CA_29","42","UCBR8-60-B28hp2BmDPdntcQ","Shorts"
"CA_30","43","UCBR8-60-B28hp2BmDPdntcQ","Shows"
"CA_31","44","UCBR8-60-B28hp2BmDPdntcQ","Trailers"
