"_id","id","publishedAt","channelId","title","channelTitle","categoryId","defaultAudioLanguage","duration","definition","caption","licensedContent","madeForKids","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"CA_1","87-ZFjLfBAQ","2020-04-19T03:06:41.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","One World: Together At Home Special to Celebrate COVID-19 Workers","Global Citizen","29","en","PT8H5M15S","hd","false","True","False","23140973","353832","23207","0","0"
"CA_2","9wTAULd7_4w","2020-04-19T16:08:52.000Z","UCo8bcnLyZH8tBIH9V1mLgqQ","Getting Lost at Camp Geronimo","TheOdd1sOut","23","en","PT8M10S","hd","false","True","False","5144060","398586","3584","0","45156"
"CA_3","SYJCYr1I-Sk","2020-04-19T03:09:22.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","Celine Dion, Andrea Bocelli, Lady Gaga, Lang Lang, John Legend perform ""The Prayer"" | OW:TAH","Global Citizen","29","en","PT3M9S","hd","false","True","False","4952966","127868","4119","0","0"
"CA_4","lPHSr2keNBY","2020-04-19T15:07:10.000Z","UCDRmGMSgrtZkOsh_NQl4_xw","Vince Carter's 10-year beef with Toronto included Nelly, a possible body slam, and so many injuries","SB Nation","17","en","PT30M16S","hd","true","True","False","310041","12895","157","0","1362"
"CA_5","us9WNUdDJto","2020-04-19T15:00:41.000Z","UCap97Ue8K_BpKlrvQRYd6JA","Cutting My Boyfriend's Hair (Cuz Quarantine)","LaurDIY","26","en","PT17M55S","hd","false","True","False","383100","22733","683","0","2061"
"CA_6","0MWNW_a35oY","2020-04-10T17:00:16.000Z","UCacXhWzEaFnUXqQMHJAFaBw","We are the World (2020) | Together At Home Edition by Channel Aid, KHS & YouTube Artists","ChannelAid","10","de","PT5M2S","hd","false","True","False","1699370","43899","1432","0","1945"
"CA_7","uTha_t4goXg","2020-04-19T14:35:07.000Z","UCIIPl-DSCC0prKxGGnJrdGQ","update","Austin John Plays","20","en","PT1M30S","hd","false","True","False","524616","60803","592","0","13728"
"CA_8","-L8hLkg21MQ","2020-04-19T13:00:59.000Z","UCjNx6OQZDvth-hXX6SLkOvg","SIMI - Duduke (Official Video)","SimiVEVO","10",NULL,"PT2M58S","hd","false","True","False","294127","23944","129","0","1996"
"CA_9","R241RjFVjXM","2020-04-18T17:25:11.000Z","UCBwSufNse8VMBvQM_rCSvgQ","Morgz - DEAR MOM (Diss Track) Official Music Video","Morgz","24","en","PT2M58S","hd","false","True","False","1570045","75212","57851","0","41524"
"CA_10","Vr2FLgmWCJA","2020-04-18T23:56:48.000Z","UC1l7wYrva1qCH-wgqcHaaRg","David Guetta / United at Home - Fundraising Live from Miami #UnitedatHome #StayHome #WithMe","David Guetta","10","en-US","PT1H39M20S","hd","false","False","False","1862868","71905","1058","0","2355"
"CA_11","qZB0gALJUso","2020-04-19T14:11:00.000Z","UCXSHOjS30YMaGRgwuuxBfLw","Chronic Law - Relevant (Official Audio)","ChronicLawVEVO","10",NULL,"PT2M59S","hd","false","True","False","220932","21428","807","0","4932"
"CA_12","dVdGk-N8doE","2020-04-18T17:25:47.000Z","UCqsUQhA6UIwSams54bEnCJw","Morgz Mum - MORGZ SUCKS (Diss Track) Official Music Video","Morgz Mum","24",NULL,"PT2M16S","hd","false","True","False","1060351","36627","52215","0","37513"
"CA_13","FfZil5wkZ1M","2020-04-18T16:30:00.000Z","UCvUmwreRrbxeR1mbmojj8fg","Help! Oh Well... (Take 2: Official Music Video)","SomeThingElseYT","23","en-US","PT4M2S","hd","false","True","False","1653529","164312","1736","0","20803"
"CA_14","BtYKDamqo2I","2020-04-18T15:47:08.000Z","UCUK0HBIBWgM2c4vsPhkYY4w","Breaking Youtube with Slow Mo Glitter - The Slow Mo Guys","The Slow Mo Guys","24","en-GB","PT14M33S","hd","false","True","False","2675770","117518","2167","0","9899"
"CA_15","27NNH6tnFYQ","2020-04-18T21:22:52.000Z","UCPpATKqmMV-CNRNWYaDUwiA","WE COMPETE IN THE OLYMPICS!! (YouTuber Olympics)","Alexa Rivera","26",NULL,"PT10M21S","hd","false","True","False","1499856","104983","1727","0","6704"
"CA_16","cCNM706Iv8M","2020-04-19T02:18:51.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","Lady Gaga performs ""Smile"" | One World: Together At Home","Global Citizen","29","en","PT2M30S","hd","false","True","False","2220994","50059","2192","0","0"
"CA_17","sKsDoH6SxFQ","2020-04-19T15:00:40.000Z","UCuhAUMLzJxlP1W7mEk0_6lA","[TEASER] 솔라(SOLAR) - 뱉어(Spit it out)","MAMAMOO","10","ko","PT33S","hd","false","True","False","763597","154384","643","0","5784"
"CA_18","dvHUhpJjVQo","2020-04-19T13:00:14.000Z","UC4laAHbk8VSgmvB47tsd2XQ","BUILDING OFF-GRID TINY HOUSE DURING PANDEMIC","Eamon & Bec","19","en-CA","PT22M45S","hd","false","True","False","249665","11267","210","0","2378"
"CA_19","DAlvSNHny2s","2020-04-18T16:00:04.000Z","UCrHL_BF5lHyK43BxLU8-vBQ","J. Balvin, Sky - Verde","jbalvinVEVO","10",NULL,"PT4M11S","hd","true","True","False","5086461","344707","17713","0","10703"
"CA_20","70aKpsEfk9s","2020-04-19T16:07:56.000Z","UCuFFtHWoLl5fauMMD5Ww2jA","Federal parties grapple over reconvening Parliament","CBC News","25","en-GB","PT1H3S","hd","true","True","False","190422","1007","359","0","528"
"CA_21","xjmC4lSk-2U","2020-04-17T13:00:34.000Z","UC2CCXzC56k0b8L49R_iW-Yw","DaBaby - ""JUMP"" feat NBA Youngboy (Official Video)","DaBaby","10","en","PT5M5S","hd","false","False","False","9383203","435132","14826","0","28376"
"CA_22","mQxt5UZep4U","2020-04-19T14:59:34.000Z","UCuAHfJyWROB4XRReS43EWUw","2 MINUTES Around the World! Our Family Journey with 3 Kids. Underwater Adventures! Sharks! and More!","The Bucket List Family","22",NULL,"PT2M8S","hd","false","False","False","257435","13716","548","0","1305"
"CA_23","lqaJrwnZMpo","2020-04-18T19:31:16.000Z","UCUtZaxDF3hD5VK4xRYFBePQ","GOLDEN BUZZER: Dreams come true for Ant and Dec’s Greatest Showman Jon Courtenay | BGT 2020","Britain's Got Talent","24","en-GB","PT7M9S","hd","false","True","False","1151402","22998","719","0",NULL
"CA_24","URzpxYCjNfI","2020-04-18T15:35:45.000Z","UCWljxewHlJE3M7U_6_zFNyA","creep in the club | Niki & Gabi Take Bahamas EP 1","AwesomenessTV","24","en","PT20M6S","hd","false","True","False","552763","28061","556","0","2576"
"CA_25","i0g_d9Yc_ZQ","2020-04-19T10:09:09.000Z","UC2UT8pPDlUvRbQXTVOf5Ocw","JE REFAIS LE TROPHÉE  DE @JOYCA [SATISFAISANT]","Henri Hihacks","28","fr","PT10M13S","hd","false","True","False","281262","30126","408","0","1104"
"CA_26","xMZ-LSAySUA","2020-04-18T16:58:20.000Z","UC7UGbBVrqLlq6CRxWWUmyKw","Experiments with DanPlan","DanPlan","1","en","PT14M35S","hd","false","True","False","369268","42125","2864","0","11901"
"CA_27","3hYSnyVLmGE","2020-04-18T15:00:05.000Z","UCR1IuLEqb6UEA_zQ81kwXfg","The Insane Engineering of the SR-71 Blackbird","Real Engineering","28","en","PT18M55S","hd","true","True","False","823968","39127","455","0","2501"
"CA_28","V_m7Ik9NZWk","2020-04-17T18:42:02.000Z","UCTSRIY3GLFYIpkR2QwyeklA","This Movie Has Every Stereotype","Drew Gooden","23","en","PT17M53S","hd","false","True","False","1497535","114371","802","0","8463"
"CA_29","jOrQIQ3j4y0","2020-04-17T16:00:10.000Z","UCwtnkRZcvL4bfopzJ-Von8Q","She Said YES! - Prom Knight Episode 2 - Merrell Twins","merrelltwins","23","en","PT14M22S","hd","true","True","False","2029737","85325","2670","0","15901"
"CA_30","v4Dtvf56xRI","2020-04-19T14:00:19.000Z","UCOpP5PqrzODWpFU961acUbg","Building up a new hardtail mountain bike... again!","Berm Peak Express","17","en-US","PT15M40S","hd","false","True","False","456897","28988","184","0","1707"
"CA_31","aIo9RWE2u5M","2020-04-17T16:04:39.000Z","UCByWJsWPztkY3Rta2B62tgg","CONSTRUIRE UNE CABANE PENDANT LE CONFINEMENT avec @FastGoodCuisine","HugoPOSAY","23","fr","PT14M46S","hd","false","True","False","1812853","224006","2380","0","2114"
"CA_32","83xBPCw5hh4","2020-04-17T04:00:08.000Z","UC2CCXzC56k0b8L49R_iW-Yw","DaBaby – ROCKSTAR FT RODDY RICCH [Audio]","DaBaby","10","en","PT3M2S","sd","false","False","False","3957920","176657","2461","0","7982"
"CA_33","onC0BiTf9R0","2020-04-19T16:00:30.000Z","UCsOoQeBWPnfWBYAwmO795zg","OCEANS (Where Feet May Fail) - Hillsong Church Online","Hillsong UNITED","10","en","PT6M13S","hd","false","True","False","144579","18084","62","0","871"
"CA_34","N_87Ow7HTdQ","2020-04-19T14:00:11.000Z","UChBEbMKI1eCcejTtmI32UEw","Making Panda Express Orange Chicken At Home | But Better","Joshua Weissman","26","en","PT7M4S","hd","false","True","False","563192","40076","532","0","3037"
"CA_35","tO3u-5YRPpQ","2020-04-18T22:32:11.000Z","UC8Su5vZCXWRag13H53zWVwA","Members of the Coronavirus Task Force Hold a Press Briefing | TIME","TIME","25",NULL,"PT1H8M37S","hd","false","True","False","342649","1847","1273","0","1074"
"CA_36","xqGL7xjl-6M","2020-04-19T00:53:12.000Z","UChLtXXpo4Ge1ReTEboVvTDg","Global National: April 18, 2020 | Trudeau says reopening too soon could come at greater cost","Global News","25","en-CA","PT22M29S","hd","false","True","False","191367","781","184","0","835"
