"_id","id","publishedAt","channelId","title","channelTitle","categoryId","duration","definition","caption","licensedContent","madeForKids","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","defaultAudioLanguage"
"UK_1","Na1rzigYlSU","2020-04-20T08:40:00.000Z","UCAxW1XT0iEJo0TYlRfn6rYQ","PE With Joe | Monday 20th April","The Body Coach TV","17","PT32M42S","hd","false","True","False","773632","43195","508","0","678",NULL
"UK_2","9wTAULd7_4w","2020-04-19T16:08:52.000Z","UCo8bcnLyZH8tBIH9V1mLgqQ","Getting Lost at Camp Geronimo","TheOdd1sOut","23","PT8M10S","hd","false","True","False","5132919","398112","3570","0","45109","en"
"UK_3","87-ZFjLfBAQ","2020-04-19T03:06:41.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","One World: Together At Home Special to Celebrate COVID-19 Workers","Global Citizen","29","PT8H5M15S","hd","false","True","False","23134573","353752","23177","0","0","en"
"UK_4","HWevWsc8nBA","2020-04-19T16:57:55.000Z","UCkD-ZOixI0a9FjIExDsHsbg","Newcastle Become Premier League’s Richest Club","The Kick Off","17","PT13M52S","hd","false","True","False","292664","16509","437","0","3433",NULL
"UK_5","F8sU45ax2Hs","2020-04-19T16:00:08.000Z","UCcOkA2Xmk1valTOWSyKyp4g","Farewell, Sarah Jane | Doctor Who","Doctor Who","24","PT13M33S","hd","false","True","False","193793","14430","101","0","1752","en-GB"
"UK_6","lqaJrwnZMpo","2020-04-18T19:31:16.000Z","UCUtZaxDF3hD5VK4xRYFBePQ","GOLDEN BUZZER: Dreams come true for Ant and Dec’s Greatest Showman Jon Courtenay | BGT 2020","Britain's Got Talent","24","PT7M9S","hd","false","True","False","1149102","22971","718","0",NULL,"en-GB"
"UK_7","zfqhDtDQPeE","2020-04-19T21:12:27.000Z","UCZtDUmC3W7j25XHZWFT_XgQ","Little Mix - Touch (One World: Together At Home)","BBC Music","10","PT3M50S","hd","false","True","False","143474","20960","117","0","1099","en-GB"
"UK_8","9sUzVsqn8Xg","2020-04-20T03:35:05.000Z","UCVKAcQQCO8vv87Gk62SutAg","At least 17 dead in worst mass shooting in Canada","CityNews Toronto","25","PT3M2S","hd","false","False","False","451344","4203","333","0","3035","en-US"
"UK_9","PvevoJDcv8E","2020-04-19T09:00:11.000Z","UCMrsA8lOl3F4j3DHNfDAkVA","Where I've been? Feeling down, GRWM & Two dumb blondes take on banana bread!","SaffronBarkerVlogs","24","PT21M5S","hd","false","True","False","140012","7019","159","0","790",NULL
"UK_10","dVdGk-N8doE","2020-04-18T17:25:47.000Z","UCqsUQhA6UIwSams54bEnCJw","Morgz Mum - MORGZ SUCKS (Diss Track) Official Music Video","Morgz Mum","24","PT2M16S","hd","false","True","False","1058807","36600","52148","0","37497",NULL
"UK_11","wMlFBxoJ1lo","2020-04-20T01:45:51.000Z","UCfLTxnQboSLcoSakgONmukQ","Henrique e Juliano -  LIVE Liberdade Provisória","Henrique e Juliano","10","PT3H52M31S","hd","false","True","False","19511763","777934","10446","0","2044",NULL
"UK_12","R241RjFVjXM","2020-04-18T17:25:11.000Z","UCBwSufNse8VMBvQM_rCSvgQ","Morgz - DEAR MOM (Diss Track) Official Music Video","Morgz","24","PT2M58S","hd","false","True","False","1568032","75164","57745","0","41501","en"
"UK_13","VmUdQGdh4hs","2020-04-19T18:09:55.000Z","UCKI_nC8ZYng9JmLcRbu1V_w","MCR ""Donk Scene Saviour"" Official Lyrics & Meaning | Verified","Stephen Tries Less","23","PT8M13S","hd","false","True","False","72766","9096","37","0","240",NULL
"UK_14","rGuDgNP3c8c","2020-04-19T16:00:18.000Z","UCQC2re4ieW_x_cHs2--uJTg","NEVER HAVE I EVER *HOT TUB EDITION* ft. Josh Richards, Jaden Hossler, Quinton Griggs, Bryce Hall","Griffin Johnson","24","PT8M20S","hd","false","True","False","314891","38050","183","0","1219","en"
"UK_15","4oL1IlbjS_8","2020-04-18T20:01:17.000Z","UCUtZaxDF3hD5VK4xRYFBePQ","Voice of an angel! INSPIRING nurse Beth Porch performs her song 'You Taught Me What Love Is'","Britain's Got Talent","24","PT6M45S","hd","false","True","False","460288","11393","248","0",NULL,"en-GB"
"UK_16","f70LsCXpQ94","2020-04-19T18:41:32.000Z","UCB_qr75-ydFVKSF9Dmo6izg","F1 Esports Chinese Virtual Grand Prix! Full Race","FORMULA 1","17","PT1H24M18S","hd","false","True","False","723772","13794","622","0","556","en"
"UK_17","q0uqCp7xVtg","2020-04-18T21:06:23.000Z","UCLcSqjJWHJeDWD_SbdorBRw","Virtual Pub Quiz, Live! Celeb and Key Worker Charity Special #withme #stayhome #JaysVirtualPubQuiz","Virtual Pub Quiz","24","PT1H43M14S","hd","false","True","False","172767","1108","64","0","11",NULL
"UK_18","833xtclI_qU","2020-04-19T18:38:36.000Z","UCUKi4zY5ETSqrKAjTBgjM-g","Confessions of Fast Food Employees","sWooZie","1","PT7M56S","hd","false","True","False","596747","56747","456","0","3347","en"
"UK_19","qtgiS6zBm2g","2020-04-20T00:19:52.000Z","UC8Su5vZCXWRag13H53zWVwA","Members of the Coronavirus Task Force Hold a Press Briefing | TIME","TIME","25","PT1H29M39S","hd","false","True","False","634637","3108","2035","0","806",NULL
"UK_20","Lpop7PTi5sA","2020-04-20T02:00:02.000Z","UCVTQuK2CaWaTgSsoNkn5AiQ","Westworld: Season 3 Episode 7 Promo | HBO","HBO","24","PT1M11S","hd","true","False","False","68372","1815","25","0","565","en"
"UK_21","fQallQyxAfw","2020-04-19T16:00:31.000Z","UCIEv3lZ_tNXHzL3ox-_uUGQ","Can Gordon Ramsay Cook a Burger in 10 Minutes for a Front-Line Workers Charity? | Ramsay In 10","Gordon Ramsay","24","PT13M54S","hd","false","True","False","1083860","34763","772","0","3819","en-GB"
"UK_22","uTha_t4goXg","2020-04-19T14:35:07.000Z","UCIIPl-DSCC0prKxGGnJrdGQ","update","Austin John Plays","20","PT1M30S","hd","false","True","False","523327","60760","589","0","13715","en"
"UK_23","SYJCYr1I-Sk","2020-04-19T03:09:22.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","Celine Dion, Andrea Bocelli, Lady Gaga, Lang Lang, John Legend perform ""The Prayer"" | OW:TAH","Global Citizen","29","PT3M9S","hd","false","True","False","4948581","127732","4113","0","0","en"
"UK_24","v4Dtvf56xRI","2020-04-19T14:00:19.000Z","UCOpP5PqrzODWpFU961acUbg","Building up a new hardtail mountain bike... again!","Berm Peak Express","17","PT15M40S","hd","false","True","False","456390","28969","184","0","1708","en-US"
"UK_25","zTZTL7pKCTA","2020-04-19T18:33:31.000Z","UChbKYCOnUtou3RPtFXeT73w","THE OFFICIAL JOHNSON FAM LABOR and DELIVERY!","the johnson fam","22","PT10M30S","hd","false","True","False","286014","22678","247","0",NULL,"en"
"UK_26","FXqoPVC72xs","2020-04-19T09:02:34.000Z","UCMiJRAwDNSNzuYeN2uWa0pA","I bought the cheapest smartphones ever.","Mrwhosetheboss","28","PT20M40S","hd","false","True","False","942613","54877","1713","0","5101","en-GB"
"UK_27","__2ees5mxI4","2020-04-19T17:17:03.000Z","UCZq2SKai_oKTh-pmhrXB9xQ","Roadtrip: Before the Show (TRAILER)","RoadTrip TV","10","PT1M13S","hd","false","True","False","23663","5208","14","0","904",NULL
"UK_28","-L8hLkg21MQ","2020-04-19T13:00:59.000Z","UCjNx6OQZDvth-hXX6SLkOvg","SIMI - Duduke (Official Video)","SimiVEVO","10","PT2M58S","hd","false","True","False","293386","23911","129","0","1994",NULL
"UK_29","BtYKDamqo2I","2020-04-18T15:47:08.000Z","UCUK0HBIBWgM2c4vsPhkYY4w","Breaking Youtube with Slow Mo Glitter - The Slow Mo Guys","The Slow Mo Guys","24","PT14M33S","hd","false","True","False","2675303","117471","2166","0","9895","en-GB"
"UK_30","llBIml4lqS0","2020-04-18T18:00:11.000Z","UC-hWvVvE-crFl5vg5G8QbqA","1548 Days: Return of The Gypsy King full documentary","BT Sport Boxing","17","PT35M6S","hd","false","True","False","179912","4856","89","0","570","en-GB"
"UK_31","Rxs5doPlsNk","2020-04-18T11:27:52.000Z","UClXGJtulD3L2TOUU99QGsZA","CULITA x JADOR x SUSANU - Am renuntat la ea [oficial video] 2020","Culita Sterp • Oficial","24","PT3M33S","hd","false","True","False","1822838","111355","2997","0","4716",NULL
"UK_32","URzpxYCjNfI","2020-04-18T15:35:45.000Z","UCWljxewHlJE3M7U_6_zFNyA","creep in the club | Niki & Gabi Take Bahamas EP 1","AwesomenessTV","24","PT20M6S","hd","false","True","False","552484","28044","555","0","2577","en"
"UK_33","7Miz23sriac","2020-04-20T00:08:39.000Z","UCa61SNyOCMWaL2PPEM-Qz6w","Roberto Carlos Ao Vivo no YouTube  #FiqueEmCasa e Cante #Comigo","Roberto Carlos","10","PT1H30M16S","hd","false","True","False","8373106","373199","10764","0","4262",NULL
"UK_34","rAxdO1j6oQI","2020-04-19T00:36:21.000Z","UCEa-JnNdYCIFn3HMhjGEWpQ","John Legend - Bigger Love [One World: #TogetherAtHome]","John Legend","10","PT2M52S","hd","false","False","False","178945","4076","67","0","189",NULL
"UK_35","BBWR0I9LbOQ","2020-04-17T20:00:11.000Z","UCKSxNv7X_ewMbXgs134rCJA","Charles Ingram Fraud Scandal | REAL FOOTAGE | Who Wants To Be A Millionaire?","Who Wants To Be A Millionaire?","24","PT46M24S","hd","false","True","False","592260","6739","414","0","3560","en-GB"
"UK_36","lDJUibtIYhk","2020-04-19T09:00:31.000Z","UC9LQwHZoucFT94I2h6JOcjw","Klopp checks in with Salah & Lovren | Reds’ online training session on Origi’s birthday","Liverpool FC","17","PT3M18S","hd","false","True","False","273478","10150","92","0","561","en-GB"
"UK_37","UxvBa2lUtMM","2020-04-18T01:50:01.000Z","UChLtXXpo4Ge1ReTEboVvTDg","Coronavirus outbreak: China ""must have the most"" COVID-19 deaths, Trump says","Global News","25","PT4M33S","hd","false","True","False","468381","3642","591","0","2873","en-CA"
"UK_38","lPHSr2keNBY","2020-04-19T15:07:10.000Z","UCDRmGMSgrtZkOsh_NQl4_xw","Vince Carter's 10-year beef with Toronto included Nelly, a possible body slam, and so many injuries","SB Nation","17","PT30M16S","hd","true","True","False","309468","12877","157","0","1359","en"
"UK_39","FfZil5wkZ1M","2020-04-18T16:30:00.000Z","UCvUmwreRrbxeR1mbmojj8fg","Help! Oh Well... (Take 2: Official Music Video)","SomeThingElseYT","23","PT4M2S","hd","false","True","False","1652457","164248","1733","0","20797","en-US"
"UK_40","0MWNW_a35oY","2020-04-10T17:00:16.000Z","UCacXhWzEaFnUXqQMHJAFaBw","We are the World (2020) | Together At Home Edition by Channel Aid, KHS & YouTube Artists","ChannelAid","10","PT5M2S","hd","false","True","False","1698032","43860","1428","0","1942","de"
"UK_41","enU6nyyNR4I","2020-04-18T16:00:30.000Z","UCSpFnDQr88xCZ80N-X7t0nQ","VFX Artists React to Bad & Great CGi 23","Corridor Crew","24","PT14M18S","hd","false","True","False","1449948","75911","924","0","9751","en"
"UK_42","f0gKQhOeWFY","2020-04-19T10:00:30.000Z","UCSnwORddxZG1SyB8lSxWQGg","Isolating In The Deep Blue With My Best Mate Hunting Fish For Food SHARKS & MAHI (Part 1) - Ep 192","YBS Youngbloods","17","PT15M21S","hd","false","True","False","298044","13346","205","0","1477",NULL
"UK_43","3hYSnyVLmGE","2020-04-18T15:00:05.000Z","UCR1IuLEqb6UEA_zQ81kwXfg","The Insane Engineering of the SR-71 Blackbird","Real Engineering","28","PT18M55S","hd","true","True","False","822846","39109","455","0","2499","en"
"UK_44","oxp2dtzNASI","2020-04-18T23:53:13.000Z","UCMmVPVb0BwSIOWVeDwlPocQ","LIVE PUB QUIZ! AFTV vs The UNITED STAND! 24Hr Charity fundraiser | 9pm-Midnight","The United Stand","24","PT2H58M9S","hd","false","True","False","92934","3175","59","0","63",NULL
"UK_45","xMZ-LSAySUA","2020-04-18T16:58:20.000Z","UC7UGbBVrqLlq6CRxWWUmyKw","Experiments with DanPlan","DanPlan","1","PT14M35S","hd","false","True","False","369115","42101","2863","0","11895","en"
"UK_46","jOrQIQ3j4y0","2020-04-17T16:00:10.000Z","UCwtnkRZcvL4bfopzJ-Von8Q","She Said YES! - Prom Knight Episode 2 - Merrell Twins","merrelltwins","23","PT14M22S","hd","true","True","False","2028704","85306","2670","0","15898","en"
"UK_47","Uy9GJUOcGqc","2020-04-18T15:00:10.000Z","UCGLu20iKuz8ZzZ8xYv5YsXA","Capital T - FLEX (Prod by.RZon)","Capital T","24","PT3M4S","hd","false","True","False","671327","26711","1271","0","1458",NULL
"UK_48","V_m7Ik9NZWk","2020-04-17T18:42:02.000Z","UCTSRIY3GLFYIpkR2QwyeklA","This Movie Has Every Stereotype","Drew Gooden","23","PT17M53S","hd","false","True","False","1497067","114330","802","0","8462","en"
"UK_49","0DhOcQfPmg4","2020-04-18T20:23:52.000Z","UChSr5-8JrD57t_qTxVK0kZg","Broke in Amsterdam - Day 5","Hack","24","PT9M1S","hd","false","True","False","38026","2379","127","0","728","en-GB"
"UK_50","kXqE9UI7MUo","2020-04-18T17:55:57.000Z","UCMmVPVb0BwSIOWVeDwlPocQ","200 Million Transfer Challenge! Goldbridge vs DT! United Stand 24Hr Charity Fundraiser | 3pm-6pm","The United Stand","24","PT2H59M20S","hd","false","True","False","108835","3741","76","0","56",NULL
"UK_51","CO5OxOi4Q5M","2020-04-18T21:41:26.000Z","UCrA2bqOHwjX1DxgP9CaVJzw","Ants during the pandemic","Lenarr Young","23","PT6M17S","hd","false","True","False","539807","56240","487","0","2605",NULL
"UK_52","P1EalbUQfiU","2020-04-18T08:02:17.000Z","UCUhFaUpnq31m6TNX2VKVSVA","BMW M8 vs Nissan GT-R vs Ferrari V12 - DRAG RACE!","carwow","2","PT10M24S","hd","false","True","False","2112757","67510","2122","0","7131","en"
