"_id","id","channelId","title"
"US_1","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation"
"US_2","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles"
"US_3","10","UCBR8-60-B28hp2BmDPdntcQ","Music"
"US_4","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals"
"US_5","17","UCBR8-60-B28hp2BmDPdntcQ","Sports"
"US_6","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies"
"US_7","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events"
"US_8","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming"
"US_9","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging"
"US_10","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs"
"US_11","23","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"US_12","24","UCBR8-60-B28hp2BmDPdntcQ","Entertainment"
"US_13","25","UCBR8-60-B28hp2BmDPdntcQ","News & Politics"
"US_14","26","UCBR8-60-B28hp2BmDPdntcQ","Howto & Style"
"US_15","27","UCBR8-60-B28hp2BmDPdntcQ","Education"
"US_16","28","UCBR8-60-B28hp2BmDPdntcQ","Science & Technology"
"US_17","29","UCBR8-60-B28hp2BmDPdntcQ","Nonprofits & Activism"
"US_18","30","UCBR8-60-B28hp2BmDPdntcQ","Movies"
"US_19","31","UCBR8-60-B28hp2BmDPdntcQ","Anime/Animation"
"US_20","32","UCBR8-60-B28hp2BmDPdntcQ","Action/Adventure"
"US_21","33","UCBR8-60-B28hp2BmDPdntcQ","Classics"
"US_22","34","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"US_23","35","UCBR8-60-B28hp2BmDPdntcQ","Documentary"
"US_24","36","UCBR8-60-B28hp2BmDPdntcQ","Drama"
"US_25","37","UCBR8-60-B28hp2BmDPdntcQ","Family"
"US_26","38","UCBR8-60-B28hp2BmDPdntcQ","Foreign"
"US_27","39","UCBR8-60-B28hp2BmDPdntcQ","Horror"
"US_28","40","UCBR8-60-B28hp2BmDPdntcQ","Sci-Fi/Fantasy"
"US_29","41","UCBR8-60-B28hp2BmDPdntcQ","Thriller"
"US_30","42","UCBR8-60-B28hp2BmDPdntcQ","Shorts"
"US_31","43","UCBR8-60-B28hp2BmDPdntcQ","Shows"
"US_32","44","UCBR8-60-B28hp2BmDPdntcQ","Trailers"
