"_id","id","publishedAt","channelId","title","channelTitle","categoryId","defaultAudioLanguage","duration","definition","caption","licensedContent","madeForKids","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"US_1","9wTAULd7_4w","2020-04-19T16:08:52.000Z","UCo8bcnLyZH8tBIH9V1mLgqQ","Getting Lost at Camp Geronimo","TheOdd1sOut","23","en","PT8M10S","hd","false","True","False","5144952","398607","3585","0","45160"
"US_2","87-ZFjLfBAQ","2020-04-19T03:06:41.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","One World: Together At Home Special to Celebrate COVID-19 Workers","Global Citizen","29","en","PT8H5M15S","hd","false","True","False","23145014","353836","23209","0","0"
"US_3","SYJCYr1I-Sk","2020-04-19T03:09:22.000Z","UCg3_C7BwcV0kBlJbBFHTPJQ","Celine Dion, Andrea Bocelli, Lady Gaga, Lang Lang, John Legend perform ""The Prayer"" | OW:TAH","Global Citizen","29","en","PT3M9S","hd","false","True","False","4952966","127878","4119","0","0"
"US_4","xjmC4lSk-2U","2020-04-17T13:00:34.000Z","UC2CCXzC56k0b8L49R_iW-Yw","DaBaby - ""JUMP"" feat NBA Youngboy (Official Video)","DaBaby","10","en","PT5M5S","hd","false","False","False","9383203","435141","14826","0","28373"
"US_5","uTha_t4goXg","2020-04-19T14:35:07.000Z","UCIIPl-DSCC0prKxGGnJrdGQ","update","Austin John Plays","20","en","PT1M30S","hd","false","True","False","524880","60806","592","0","13728"
"US_6","gznuqMpFJ7E","2020-04-19T12:01:23.000Z","UCBR8-60-B28hp2BmDPdntcQ","Get by together | #WithMe","YouTube","24","en","PT1M1S","hd","false","True","False","806071","4520","1527","0","825"
"US_7","FfZil5wkZ1M","2020-04-18T16:30:00.000Z","UCvUmwreRrbxeR1mbmojj8fg","Help! Oh Well... (Take 2: Official Music Video)","SomeThingElseYT","23","en-US","PT4M2S","hd","false","True","False","1653529","164316","1736","0","20805"
"US_8","us9WNUdDJto","2020-04-19T15:00:41.000Z","UCap97Ue8K_BpKlrvQRYd6JA","Cutting My Boyfriend's Hair (Cuz Quarantine)","LaurDIY","26","en","PT17M55S","hd","false","True","False","383100","22733","683","0","2061"
"US_9","DAlvSNHny2s","2020-04-18T16:00:04.000Z","UCrHL_BF5lHyK43BxLU8-vBQ","J. Balvin, Sky - Verde","jbalvinVEVO","10",NULL,"PT4M11S","hd","true","True","False","5086461","344715","17714","0","10703"
"US_10","R241RjFVjXM","2020-04-18T17:25:11.000Z","UCBwSufNse8VMBvQM_rCSvgQ","Morgz - DEAR MOM (Diss Track) Official Music Video","Morgz","24","en","PT2M58S","hd","false","True","False","1570045","75214","57852","0","41524"
"US_11","dVdGk-N8doE","2020-04-18T17:25:47.000Z","UCqsUQhA6UIwSams54bEnCJw","Morgz Mum - MORGZ SUCKS (Diss Track) Official Music Video","Morgz Mum","24",NULL,"PT2M16S","hd","false","True","False","1060369","36627","52218","0","37515"
"US_12","dgoLycMrUIA","2020-04-18T16:21:26.000Z","UC0dQFymlTdbTuj4pLZd80uQ","abs in 2 weeks? i tried chloe tings ab workouts… i’m shook","Hannah Meloche","26","en","PT10M59S","hd","false","True","False","811087","36874","828","0","1658"
"US_13","qZB0gALJUso","2020-04-19T14:11:00.000Z","UCXSHOjS30YMaGRgwuuxBfLw","Chronic Law - Relevant (Official Audio)","ChronicLawVEVO","10",NULL,"PT2M59S","hd","false","True","False","220932","21429","807","0","4932"
"US_14","27NNH6tnFYQ","2020-04-18T21:22:52.000Z","UCPpATKqmMV-CNRNWYaDUwiA","WE COMPETE IN THE OLYMPICS!! (YouTuber Olympics)","Alexa Rivera","26",NULL,"PT10M21S","hd","false","True","False","1499856","104985","1727","0","6708"
"US_15","Vr2FLgmWCJA","2020-04-18T23:56:48.000Z","UC1l7wYrva1qCH-wgqcHaaRg","David Guetta / United at Home - Fundraising Live from Miami #UnitedatHome #StayHome #WithMe","David Guetta","10","en-US","PT1H39M20S","hd","false","False","False","1862868","71908","1058","0","2357"
"US_16","t2XCdOm0vgg","2020-04-18T22:18:46.000Z","UCUtiZN7psYswOeai8t37i4w","Stimulus Check Update | Next Direct Deposit Date","Rodas Yonass","27","en-US","PT9M17S","hd","false","True","False","275386","10459","266","0","3910"
"US_17","BtYKDamqo2I","2020-04-18T15:47:08.000Z","UCUK0HBIBWgM2c4vsPhkYY4w","Breaking Youtube with Slow Mo Glitter - The Slow Mo Guys","The Slow Mo Guys","24","en-GB","PT14M33S","hd","false","True","False","2675778","117524","2167","0","9902"
"US_18","lPHSr2keNBY","2020-04-19T15:07:10.000Z","UCDRmGMSgrtZkOsh_NQl4_xw","Vince Carter's 10-year beef with Toronto included Nelly, a possible body slam, and so many injuries","SB Nation","17","en","PT30M16S","hd","true","True","False","310041","12895","157","0","1362"
"US_19","CBCBP1U436Q","2020-04-18T18:00:04.000Z","UCoziFm3M4sHDq1kkx0UwtRw","my dogs use bells to speak to me","Glam&Gore","24","en","PT13M20S","hd","false","True","False","544561","51745","287","0","4205"
"US_20","mQxt5UZep4U","2020-04-19T14:59:34.000Z","UCuAHfJyWROB4XRReS43EWUw","2 MINUTES Around the World! Our Family Journey with 3 Kids. Underwater Adventures! Sharks! and More!","The Bucket List Family","22",NULL,"PT2M8S","hd","false","False","False","257435","13718","548","0","1305"
"US_21","xMZ-LSAySUA","2020-04-18T16:58:20.000Z","UC7UGbBVrqLlq6CRxWWUmyKw","Experiments with DanPlan","DanPlan","1","en","PT14M35S","hd","false","True","False","369268","42125","2864","0","11901"
"US_22","URzpxYCjNfI","2020-04-18T15:35:45.000Z","UCWljxewHlJE3M7U_6_zFNyA","creep in the club | Niki & Gabi Take Bahamas EP 1","AwesomenessTV","24","en","PT20M6S","hd","false","True","False","552763","28062","556","0","2576"
"US_23","9imin5JRabI","2020-04-17T20:00:10.000Z","UC8FHFLWe9KkG0eoxPMIgcpg","Fredo Bang - Traffic (Official Music Video)","Fredo Bang","10","en","PT2M41S","hd","false","False","False","636855","33620","1048","0","2834"
"US_24","CO5OxOi4Q5M","2020-04-18T21:41:26.000Z","UCrA2bqOHwjX1DxgP9CaVJzw","Ants during the pandemic","Lenarr Young","23",NULL,"PT6M17S","hd","false","True","False","540140","56260","488","0","2606"
"US_25","PRpC0R_Om80","2020-04-19T01:15:15.000Z","UCU0SGO9-HhqZfsB9v8sbJ5w","DIY - HowTo Make Fish Pond Modern Mansion Magnetic Balls (ASMR Satisfying) | Magnet World Series#219","Magnet World","24","en","PT11M18S","hd","false","True","False","1262790","11996","1753","0","457"
